sentence,start_time,end_time,label,certainty_score,sentiment_score
"Good afternoon everyone and welcome to Tesla has fourth quarter 2024, QA webcast my name is Travis Axelrod Heaven, restoration relations here at Tesla, and I am joined today by Elon Musk and them up, Tunisia, and a number of other executives.",378.4,391.9,neutral,0.9995790123939514,0.0
"Are Q4 results, were announced at about 3 p.m. central Time in the update deck, we published at the same length as this.",391.9,399.2,neutral,0.9995774626731873,0.0
"Webcast during this call, we will discuss our business Outlook and make forward-looking statements.",399.2,404.3,neutral,0.9995976090431213,0.0
These comments are based on our predictions and expectations as of today.,404.3,408.3,neutral,0.9995951056480408,0.0
"Day actual events or results could differ materially due to a number of risks and uncertainties, including those mentioned in our most recent filings with the SEC.",408.4,417.3,neutral,0.9994565844535828,0.0
"During the question and answer portion of today's call, please limit yourself to one question and one follow-up.",418.3,423.3,neutral,0.9994487166404724,0.0
Please use the raise hand button to join the question Q4.,423.3,426.6,neutral,0.9995266199111938,0.0
We jump into Q&A Ilan.,426.6,429.5,neutral,0.999395489692688,0.0
Has some opening remarks along figured.,429.5,431.9,neutral,0.9996174573898315,0.0
"So in summary, in Q4 we set a record and limit vehicles and annualized rate of nearly 2 million a year.",432.0,438.2,positive,0.9979395270347595,0.9979395270347595
"So, congratulations to the Tesla team on.",438.2,441.9,positive,0.9514632225036621,0.9514632225036621
Excellent work.,442.1,443.1,positive,0.9977399110794067,0.9977399110794067
"We're to achieving record production and deliveries we Model y, was the best-selling vehicle cost of any kind for 2024.",443.4,452.2,positive,0.9980229139328003,0.9980229139328003
"That's worth noting that the not just the best electric vehicle, the best vehicle of any kind on Earth.",452.2,456.8,neutral,0.9994869232177734,0.0
"Number one, where's Lorelai?",457.0,458.3,neutral,0.9948440790176392,0.0
"We're staying focused on maximizing volumes and obviously doubling down for, I don't know what really does, it essentially doubling down on autonomy, but really, it's like autonomy is like ten Xing frankly, doubling is not even enough room.",458.5,478.0,positive,0.8648388385772705,0.8648388385772705
"Made many critical investments in 2024 in manufacturing, Ai Ai and Robotics that will bear immense fruit in the future and meds like it's in fact to such a scale that it is difficult to comprehend.",478.2,491.6,positive,0.9982511401176453,0.9982511401176453
"And I've said this before, and I'll stand by it, it I see a path.",491.6,498.1,neutral,0.9993064403533936,0.0
"I'm not saying it's an easy path, but I see a path for Tesla being the most valuable company in the world by far.",498.3,503.3,positive,0.9971888661384583,0.9971888661384583
"Not even close, like maybe several times more than I mean, I think that there is a path where Tesla is worth more than the next top five companies combined.",503.3,515.3,positive,0.997491717338562,0.997491717338562
There's a path to that.,515.3,517.3,neutral,0.9993466734886169,0.0
I think it's like an incredibly just like a difficult path but it is an achievable path.,519.3,525.1,neutral,0.9821254014968872,0.0
So and that is overwhelmingly.,527.8,531.3,positive,0.9025056958198547,0.9025056958198547
"Do two, autonomous vehicles and autonomous humanoid robots.",531.3,535.6,neutral,0.9995162487030029,0.0
"So, our focus is, is actually building towards that and then that that's what we're laying the ground.",537.7,546.8,neutral,0.8998035788536072,0.0
"We will lay the groundwork for that in 2024 will continue to lay the groundwork for that in 2025, in fact, more than lay the groundwork actually.",546.8,554.5,positive,0.9936864972114563,0.9936864972114563
"So people during the structure, we were building the manufacturing lines and Let go I'd like setting up for what I think will be an epic 2026 and the ridiculous 27 and 28 ridiculously good.",554.5,575.7,positive,0.993703305721283,0.993703305721283
That is my prediction.,577.9,578.9,neutral,0.9993841648101807,0.0
"as you had very few group, very few people, understand the value of full self-driving and our ability to monetize the fleet you, you know, I've seen these things I've said for quite a long time and I know people have said, well, you know, he owns the boy who cried wolf like Times.",584.9,600.4,negative,0.9966991543769836,-0.9966991543769836
I'm telling you there's a damn wolf for the victors time and you can drive it.,600.4,605.4,neutral,0.999086856842041,0.0
"In fact, it could drive you.",605.4,606.6,neutral,0.5564570426940918,0.0
