sentence,start_time,end_time,label,certainty_score,sentiment_score
Good afternoon and welcome to the Apple q1 fiscal year 2025 earnings conference call.,1.7,8.3,neutral,0.999593198299408,0.0
My name is Sue.,8.3,10.3,neutral,0.9992852807044983,0.0
Hassan each under Molly director of investor relations.,10.3,13.1,neutral,0.999377429485321,0.0
"Today's call is being recorded speaking first today are Apple CEO, Tim Cook and he'll be followed by CFO Kevin parekh.",13.1,23.7,neutral,0.9995878338813782,0.0
"After that, we'll open the call to questions from analysts, please note that some of the information you'll hear during our discussion today will consist of forward-looking statements including without limitation those regarding Revenue.",23.9,39.8,neutral,0.999538779258728,0.0
"Gross margin operating expenses, other income and expense taxes, Capital, allocation and future business Outlook, including the potential impact of macroeconomic conditions on the company's business and results of operations.",40.0,57.3,neutral,0.9996300935745239,0.0
These statements involve risks and uncertainties that may cause actual results or Trends to differ materially from our forecast.,58.2,67.1,neutral,0.9994230270385742,0.0
"For more information, please refer to the risk factors discussed in Apple's.",67.9,72.7,neutral,0.9995874762535095,0.0
Most recently filed annual report on form 10-K and the form 8-k filed with the SEC today along with the associated press release.,72.7,83.2,neutral,0.9995731711387634,0.0
"Apple assumes no obligation to update any forward-looking statements, which speak only as of the date.",83.5,91.3,neutral,0.9995712637901306,0.0
They are made.,91.3,92.0,neutral,0.99943608045578,0.0
I'd now like to turn the call over to Tim for introductory remarks.,92.2,96.8,neutral,0.9996212720870972,0.0
Thank you.,96.8,99.0,neutral,0.9991152882575989,0.0
"So fascinating, good afternoon, everyone.",99.0,101.4,neutral,0.9984523057937622,0.0
And thanks for joining the call.,101.4,103.3,neutral,0.9993340373039246,0.0
"Before I talk about our results, I'd like to take a moment to acknowledge the devastating wildfires that impacted the Los Angeles area this month from our retail teams to Apple TV, plus Apple music Fitness Plus beats.",104.6,119.8,negative,0.9857149720191956,-0.9857149720191956
"And more La is home to many of our team members, our thoughts are with everyone who is beginning the road to recovery for our part.",119.8,128.9,neutral,0.9990517497062683,0.0
We are contributing to the relief efforts and we will continue to support our teams and the local.,128.9,134.2,positive,0.9982168078422546,0.9982168078422546
Unity.,134.6,135.0,neutral,0.7140862941741943,0.0
"Now turning to the quarter today, apple is reporting revenue of the hundred and twenty four point.",136.4,143.1,neutral,0.9989035129547119,0.0
"Three billion dollars for the December quarter up four percent from a year ago, and an all-time record EPS also set an all-time record of two dollars and forty cents ten percent higher year.",143.1,156.5,positive,0.9981385469436646,0.9981385469436646
"Over year, we achieved all time Revenue records across the majority of the countries and regions we track including the Americas, Europe, Japan and the rest of Asia Pacific.",156.5,169.3,positive,0.9981788396835327,0.9981788396835327
